,Product Name,Product Price,Product Rating,Product Review,Product URL
61,Wesley Ignite Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18.5 inches) (Compatible with 39.62cm(15.6inch laptop),599,5.0,3,https://www.amazon.in/Wesley-Waterproof-Backpack-Business-Dimensions/dp/B0BMQ4D59H
62,PALAY® Crossbody Phone Bags For Women 3 Layers Small Multifunctional Mobile Pouch Sling Bags For Girls Latest Travel Cell Phone Purses Pouch Sport Shoulder Bag,552,4.4,276,https://www.amazon.in/PALAY%C2%AE-Multifunctional-Pattern-Accommodate-Shoulder/dp/B09FJZJVP8
63,Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Laptop Bag Tablet Business Carrying Handbag for Women and Men (Charcoal Black),471,4.0,"1,061",https://www.amazon.in/Wesley-briefcase-professional-Briefcase-messenger/dp/B0BJVDN7VT
64,"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",247,4.1,267,https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7
65,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,922,4.2,"53,029",https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ
66,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",565,4.3,"9,219",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV
67,Nivia Polyester String Bag,139,4.1,968,https://www.amazon.in/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM
68,"Osaka Pro Series-11 Waterproof DSLR Backpack Camera Bag, Lens Accessories Carry Case for Nikon, Canon, Olympus, Pentax & Others-Made in India",880,3.9,553,https://www.amazon.in/Osaka-Pro-Waterproof-Accessories-Others-Made/dp/B081Z1TVPQ
69,Lino Perros Faux Leather Sling Bag,768,3.9,193,https://www.amazon.in/Lino-Perros-Womens-Sling-Gold/dp/B07MV38P1L
70,EAYIRA Hanging Travel Toiletry Kit Bag Cosmetic Make up Organizer Multifunction Portable Makeup Pouch for Women and Girls Waterproof Ladies Case Travelling Storage Inner Ware Up Brush Kit Holder,380,3.9,747,https://www.amazon.in/EAYIRA-Portable-Multifunctional-Organizer-Cosmetic/dp/B07QYVX5FT
71,American Tourister KAMILIANT Polypropylene Hard 68 cms Luggage (LG4 (0) 00 002_Crimson)(46×68×28) cm Travel Bag,"2,799",4.2,119,https://www.amazon.in/American-Tourister-Polypropylene-LG4-002_Crimson/dp/B0BB2LKNXG
72,"Pigeon Breast Milk Storage Bag,Secure Seal & easy Storage,Hygienic Breast Milk Storage,Leak Proof,Zipper Zeal Breast Milk Storage,5 pcs",115,4.3,442,https://www.amazon.in/Pigeon-Breast-Milk-Storage-Pieces/dp/B01M5DGMZ9
73,Gear Polyester 74 Cms Duffle Bag(Dufcrstng0406_Grey),539,4.1,"15,913",https://www.amazon.in/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6
74,"SIDRUM DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black-Large)",949,4.4,808,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09SHTBFQF
75,Isle Locada by Hidesign Women's SLING BAG(AUBERGINE/AUBERG),"1,599",4.5,341,https://www.amazon.in/Isle-Locada-Hidesign-Womens-Purple/dp/B07T97R1H1
76,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,099",4.4,"16,287",https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA
77,StarX Nylon 15 Cms Gym Bag(Orange Bag_Orange),237,3.7,134,https://www.amazon.in/StarX-Compact-Nylon-Mesh-Medium-Orange/dp/B01NBTOX54
78,Lino Perros Sling bag,928,4.2,596,https://www.amazon.in/Lino-Perros-Womens-Sling-Black/dp/B07B4FBQ3X
79,"Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",938,3.9,335,https://www.amazon.in/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621
